indicator,mean_if_successful,mean_if_failed,difference
n_qubits,0.2517006802721088,0.685374149659864,-0.4336734693877552
mean_gradient_magnitude,0.359571355276528,0.0593471000286344,0.3002242552478936
gradient_variance,0.23683313221983934,0.020412789295691944,0.2164203429241474
n_gates,0.14567658388656665,0.338443570199164,-0.19276698631259734
n_trainable_parameters,0.1509415360347037,0.343019816622301,-0.19207828058759732
near_zero_percentage,0.19855685931830294,0.3532885545875988,-0.15473169526929584
depth,0.43008314436885875,0.4002267573696145,0.029856386999244255
