circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates,final_loss,successful,trainability_score,predicted_category,predicted_successful
C0072,0.1666666666666666,0.0,linear,43,0.2116812853865164,0.1922758807412887,0.6038732394366197,0.0144927536231884,0.0144578313253012,0.3600204653841456,False,0.4910051132333345,Likely Trainable,True
C0088,0.1666666666666666,0.1111111111111111,ring,44,0.4204452355881691,0.1985130671729696,0.1061755146262188,0.0434782608695652,0.0457831325301204,0.0761497709886351,False,0.5352374498937538,Likely Trainable,True
C0167,0.3333333333333333,0.2222222222222222,ring,43,0.1612569899171702,0.0377011053103268,0.1307531800489546,0.1159420289855072,0.1180722891566265,0.0697835825048425,False,0.4640970850145194,Likely Trainable,True
C0170,0.3333333333333333,0.2222222222222222,ring,46,0.207349788721437,0.0585262643095506,0.0914289153725773,0.1159420289855072,0.1180722891566265,0.0922861981082745,False,0.4729228672421229,Likely Trainable,True
