circuit_id,training_time_sec,diagnostic_time_sec
C0453,35.06778540000232,6.722277900000336
C0085,1.9811581000030856,0.16374469999573193
C0435,16.924344700000802,3.3959160999802407
C0474,64.27726650000113,13.887303900002735
C0429,0.9739267000004476,1.7490508999908343
C0313,15.457128900001408,2.301747499994235
C0031,0.1917900999978883,0.11305349998292513
C0221,6.744465499999933,0.641838400013512
C0484,95.21197180000308,17.744812499993714
C0232,8.45777210000233,1.122493000002578
C0010,0.1323096000014629,0.04843679998884909
C0125,1.1288859999986016,0.7581849000125658
C0423,0.9873111999986576,1.964140199997928
C0205,14.4551171000021,2.1674521999957506
C0361,10.793955999997706,2.0612969000067096
C0071,1.604435100001865,0.11519549999502487
C0431,18.54665060000116,3.313356999977259
C0432,18.00265479999871,3.6450757999846246
C0365,11.600186100000428,2.130647600017255
C0212,3.4840635000000475,0.39939780000713654
C0079,0.1798989000017172,0.15140990001964383
C0182,7.351112299998931,1.2235921999963466
C0425,9.32541499999934,1.8964433999790344
C0056,0.0740395000029821,0.21784619998652488
C0077,1.7356043999971007,0.12426159999449737
C0078,0.9981043999978284,0.12189480001688935
C0155,4.222564499999862,0.5724172999907751
C0266,21.67984929999875,2.887046099989675
C0272,26.130141500001628,3.6269921000057366
C0382,20.31216889999996,4.022231100010686
C0102,1.9168849000016053,0.42069669999182224
C0127,1.4666565000006813,0.8214086999942083
C0315,14.217408799999248,2.547927499981597
C0323,21.06119240000044,3.699835399980657
C0034,0.0506927999995241,0.13362670000060461
C0074,0.7472039999993285,0.12696090000099503
C0001,0.043903699999646,0.04448769998271018
C0012,0.1504079999976966,0.05028379999566823
C0230,5.770541599998978,0.8188728999812156
C0194,2.5190617999978717,1.8042482999735512
C0404,40.11504659999992,8.273249399993801
C0394,30.32034389999899,6.172038499993505
C0408,41.05076579999877,7.495778300013626
C0154,4.206931199998508,0.31758329999865964
C0069,0.0296592000013333,0.17145860000164248
C0196,8.781624700000975,1.932601100008469
C0019,0.0069880000010016,0.08633769999141805
C0443,24.56133989999944,6.336655599996448
C0485,81.71052769999733,22.666608700004872
C0482,82.18694680000044,19.71494459998212
C0428,9.466069199999763,2.169650299998466
C0040,0.0270773000011104,0.11584750001202337
C0174,1.9292395999982543,0.9623386000166647
C0305,10.992020699999555,2.185396299988497
C0156,4.383964299999207,0.37945339997531846
C0073,1.6083675999980187,0.08857400002307259
C0463,49.815894899998966,9.917623599991202
C0094,0.4457992999996349,0.25990800000727177
C0330,21.562361999996934,3.444587700010743
C0149,0.2420397999994747,0.23190270000486635
C0486,502.3908219000005,16.595997700002044
C0427,9.396286899998811,1.6921728000161238
C0064,0.0294950999996217,0.37689009998575784
C0312,14.117787499999396,2.237614899990149
C0339,28.06906329999765,4.345623900007922
C0273,25.763204000002588,3.4503355999768246
C0091,0.1525931000032869,0.3065931999881286
C0263,20.715597700000217,2.9686917000217363
C0398,30.348530100000065,5.946820100012701
C0468,49.05108879999898,10.482717999984743
C0421,7.56636239999716,1.9629167999955826
C0105,1.39893729999676,0.2989333000150509
C0336,28.27503350000188,5.056460600026185
C0470,48.8626832000009,10.764381000015419
C0476,65.09452260000035,13.86598469997989
C0080,0.6969307999970624,0.12932419998105615
C0299,7.521962999999232,1.0629707000043709
C0317,14.285651700000017,2.301025499997195
C0083,2.6597384000015154,0.22209789999760687
C0132,0.92012479999903,1.0896905999979936
C0311,14.082863399999042,2.123097100004088
C0291,7.295660899999348,1.2550259999989066
C0391,30.279969499999424,5.792281999980332
C0481,79.9777284999982,16.606430500018178
C0118,0.4094652999992831,0.5572484000003897
C0341,34.74466030000258,5.534544099995401
C0087,2.8242164999974197,0.16888200002722442
C0076,1.7027395999975852,0.13697180000599474
C0430,9.28465420000066,1.738126399985049
C0016,0.2142976999966777,0.05091560000437312
C0210,10.312098000002152,1.7999143000051845
C0379,1.6066219000022102,2.9517908999987412
C0020,0.0218394999974407,0.049352799978805706
C0318,14.28259490000346,2.496821100008674
C0377,15.717547200001718,2.8562466999865137
C0057,0.1173845000012079,0.2391143999993801
C0276,26.65948650000064,3.580059199972311
C0399,30.69269290000011,5.712957899988396
C0326,21.32411460000003,3.627163599972846
C0141,2.397593900001084,0.25747640000190586
C0434,16.818106499998976,3.6055164999852423
C0417,51.21810869999899,9.690828599996166
C0489,8.230960600001708,16.85397080000257
C0026,0.0712471000006189,0.08995219998178072
C0461,48.58152709999922,9.53899149998324
C0138,1.0807157000017469,1.0234627999889199
C0456,3.28327299999728,6.7576525999757
C0350,35.402337100000295,5.7838653000071645
C0043,0.0725572999981523,0.15360570000484586
C0209,1.9940646999966705,2.014847299986286
C0238,8.161980300003052,1.1942043000017293
C0275,26.118152300001384,3.336170700000366
C0250,10.73796190000212,1.5215140999935102
C0469,4.900821499999438,10.769371600006707
C0356,0.5830650999996578,1.163680800003931
C0411,2937.013385099999,9.448812000016915
C0246,13.29012689999945,1.5833120000024792
C0441,29.39818369999921,5.112576099985745
C0023,0.062282500002766,0.08398589998250827
C0322,25.68472780000229,3.4099904999893624
C0047,0.2189819000013813,0.16501910000806674
C0032,0.1824009000010846,0.11760860000504181
C0114,1.1924737000008463,0.5561052999983076
C0371,19.15777089999756,2.984058800007915
C0300,9.47948830000314,1.419914099999005
C0193,8.955897499999992,1.555943199986359
C0133,1.2729414999994333,0.8594699999957811
C0058,0.1175599000016518,0.21180210000602528
C0183,4.629100999998627,1.2350863999745343
C0025,0.3017684000005829,0.07554409999283962
C0018,0.3686438999975507,0.06045690001337789
C0181,14.105029399997877,1.235779000009643
C0067,0.166685399999551,0.23316659999545664
C0262,25.982235700001183,2.809998100012308
C0177,10.309186800001044,0.9054522000078578
C0095,1.9112997000011087,0.28721730000688694
C0319,17.459404600002017,2.075899500021478
C0385,24.27521689999776,3.65943149998202
C0024,0.2057696000010764,0.10699910001130775
C0211,3.8968480000003183,0.49674460000824183
C0347,42.813098999999056,5.666890400025295
C0308,13.13762659999702,1.7241012000013143
C0006,0.055544099999679,0.0379145999904722
C0117,1.7650719000012032,0.5623955999908503
C0046,0.1122880000002624,0.1695606000139378
C0017,0.1717544999992242,0.06820529999095015
C0454,39.04118519999975,6.69977109998581
C0401,48.345808499998384,7.691925200022524
C0004,0.1071835000002465,0.04130549999536015
C0342,41.983091099999,5.931750300020212
C0447,2.9426845999987563,5.024317200004589
C0061,0.1785700000000361,0.23968679999234155
C0111,0.2643083000002661,0.5201438999793027
C0477,78.11786380000194,13.811754499998642
C0302,12.9946400000008,1.6623939000128303
C0030,0.2992195000006177,0.06979909999063239
C0176,9.91276469999866,0.8391281999938656
C0226,7.098828199999844,0.8804713000135962
C0027,0.0120716000019456,0.09643720000167377
C0008,0.4651484000023629,0.040146199986338615
C0445,29.18894680000085,5.09035430001677
C0109,0.8380329999999958,0.4200851999921724
C0038,0.0955409000016516,0.10170020000077784
C0158,5.307468200000585,0.43727429999853484
C0458,39.93818529999771,6.5749991000047885
C0119,1.0557454000008877,0.48092560001532547
C0115,0.7969738000028883,0.5723567999957595
C0228,1681.7692484000036,0.7561630000127479
C0173,6.385164999999688,0.7779543000215199
C0145,3.393148299997847,0.19687379998504184
C0363,13.672451399997954,1.9410371000121813
C0475,77.48453480000171,12.977752300008433
C0186,12.485244400002555,1.1200563999882434
C0204,4.041482799999358,2.046038599975873
C0419,61.88333540000167,9.361561300000176
C0437,20.69662629999948,3.390437699999893
C0142,2.93513399999938,0.22089329999289475
C0359,0.7047381000011228,1.0949934999807738
C0068,0.2513699999981327,0.2482546000101138
C0200,8.828172800000175,1.5629245000018273
C0169,5.2728425999994215,0.7038144000107422
C0369,12.944389899999804,1.9490090000035707
C0403,48.13310569999885,7.581329799984815
C0235,9.9796548000013,1.035466000001179
C0110,1.1045911999972304,0.3613325000042096
C0478,78.92481599999883,13.993600400019204
C0146,2.988080900002388,0.2465764000080526
C0457,39.935234199998376,6.744345699989935
C0153,2.369528700000956,0.4636793999816291
C0254,19.196938000000955,2.261909300024854
C0219,0.4419135999996797,0.4481357999902684
C0084,3.405753600000025,0.19592339999508113
C0297,9.123683900001195,1.4229352000111248
C0166,7.760509700001421,0.66524699999718
C0249,11.142884900000354,1.5590568000043277
C0229,7.118106499998248,0.824881499982439
C0075,0.3532727999991039,0.1299664000107441
C0400,36.90072670000154,6.009411600010935
C0267,25.84343030000309,2.8372207999927923
C0239,10.103238700001384,1.0440728999965359
C0120,1.0960670999993454,0.6321996000187937
C0278,32.03014580000308,3.467189600021811
C0295,8.948963700000604,1.266891500010388
C0442,29.32959309999933,5.427372499980265
C0348,1325.6129297999978,5.775474599999143
C0352,6.962323200001265,1.1593466999765951
C0245,12.80442629999743,1.3342218000034336
C0223,6.912910099999863,0.787758800026495
C0376,18.78750559999753,2.7233522000024095
C0407,49.44966959999874,7.900436799973249
C0037,0.1940896000014618,0.11573750001844019
C0197,12.41589660000318,1.7507532000017818
C0140,0.7929020000010496,0.9688319999841042
C0358,7.1436264000003575,1.172049499989953
C0413,61.09954210000069,10.204267199995229
C0281,5.101444500000071,0.6920498000108637
C0282,5.138402900000074,0.663921900006244
C0060,0.0612516000001051,0.1976894999970682
C0112,2.9821929999998247,0.6343486999976449
C0288,5.233242400001473,0.6900003000046127
C0410,49.39937869999994,7.687350099993637
C0007,0.6465194999982486,0.03216439997777343
C0354,6.113501600000745,0.995774299983168
C0424,10.501387399999658,1.9334917000087444
C0333,33.56898010000077,4.444140700012213
C0159,5.286739800001669,0.38672300000325777
C0151,5.188711599999806,0.4725841000035871
C0178,9.928094800001418,0.825993100006599
C0387,25.012701600000582,3.8659974000183865
C0185,9.246646199997484,1.082582499977434
C0279,24.446464199998445,3.666925199999241
C0011,0.2669003000009979,0.06003150000469759
C0374,18.6979422000004,2.8299188000091817
C0104,0.3369681000003766,0.4334292999992613
C0082,1.3871650000000957,0.21414610001374967
C0039,0.0641378000000258,0.1174518000043463
C0409,49.339638400000695,7.521365699998569
C0168,7.637214700000186,0.6140237000072375
C0460,3.989095500000985,6.689370799984317
C0292,9.02174340000056,1.172003500018036
C0368,13.013679800002135,2.0653145000105724
C0199,3.6845665000000736,1.6218750999832992
C0355,7.034457000001567,1.1130453000077978
C0251,18.720594399997932,1.9469163999892771
C0248,13.060259199999564,1.5734037999936845
C0195,9.203157799998737,1.5510961000109091
C0090,3.5619521000007808,0.1664759999839589
C0147,2.963678099997196,0.25528189999749884
C0164,3.4758604999988165,0.6898451000161003
C0256,19.650312300000223,1.9948187999834772
C0148,2.99239469999884,0.2555507000070065
C0003,0.4636312000002363,0.03927320000366308
C0093,1.5043332000022929,0.3050121999986004
C0393,628.3894392000002,5.5984754000091925
C0070,0.5157512000005227,0.24738829999114387
