circuit_id,n_qubits,depth,ansatz,seed,mean_gradient_magnitude,gradient_variance,near_zero_percentage,n_trainable_parameters,n_gates
C0130,4,8,ring,46,0.14455054262926487,0.03375358096847632,3.515625,64,96
C0131,4,10,linear,42,0.11569697196478668,0.023873933655860585,6.5625,80,110
C0132,4,10,linear,43,0.14136618702372472,0.03360961909733008,6.875000000000001,80,110
C0133,4,10,linear,44,0.12297813153789756,0.025661784115661296,6.875000000000001,80,110
C0134,4,10,linear,45,0.1184362403996863,0.02485697759375844,7.187499999999999,80,110
C0135,4,10,linear,46,0.1307651591412604,0.028765332525567233,6.875000000000001,80,110
C0136,4,10,ring,42,0.12053734531734958,0.02414648226557136,3.125,80,120
C0137,4,10,ring,43,0.1441569681414659,0.033090515812793896,3.125,80,120
C0138,4,10,ring,44,0.13437029933861594,0.030222861513651257,2.8125,80,120
C0139,4,10,ring,45,0.13160231852322865,0.029045761294195317,3.125,80,120
C0140,4,10,ring,46,0.13418576340149052,0.028863520214587445,3.125,80,120
C0141,6,1,linear,42,0.022130763539560797,0.012633653141737054,72.22222222222221,12,17
C0142,6,1,linear,43,0.03277321370104761,0.015306755710374924,79.16666666666666,12,17
C0143,6,1,linear,44,0.02429789308863931,0.012464763681999953,58.333333333333336,12,17
C0144,6,1,linear,45,0.01626792894439869,0.004656412605265943,73.61111111111111,12,17
C0145,6,1,linear,46,0.03184646534566268,0.011789677602948405,69.44444444444444,12,17
C0146,6,1,ring,42,0.009013705517081206,0.0010058891438433108,66.66666666666666,12,18
C0147,6,1,ring,43,0.019740287263495016,0.006463112972380088,80.55555555555556,12,18
C0148,6,1,ring,44,0.016763460967241725,0.005282604650385104,47.22222222222222,12,18
C0149,6,1,ring,45,0.008073092644052964,0.0016536582127041498,73.61111111111111,12,18
C0150,6,1,ring,46,0.019711933986329724,0.006352578132922188,70.83333333333334,12,18
C0151,6,2,linear,42,0.0442159758104747,0.010105839999943585,35.41666666666667,24,34
C0152,6,2,linear,43,0.04153431627726942,0.014112847441201627,38.88888888888889,24,34
C0153,6,2,linear,44,0.07003219190055485,0.017091061094892893,35.41666666666667,24,34
C0154,6,2,linear,45,0.045064720068624047,0.016641590039976405,36.80555555555556,24,34
C0155,6,2,linear,46,0.06828411310028341,0.02095804565943313,48.61111111111111,24,34
C0156,6,2,ring,42,0.04790723792931011,0.00790741001753125,18.75,24,36
C0157,6,2,ring,43,0.04404879373440559,0.008784188777315025,25.694444444444443,24,36
C0158,6,2,ring,44,0.06707942010939368,0.01033459315339785,15.972222222222221,24,36
C0159,6,2,ring,45,0.027121120890005596,0.002940527172162813,20.13888888888889,24,36
C0160,6,2,ring,46,0.052392415646264553,0.006724472241685932,22.916666666666664,24,36
C0161,6,3,linear,42,0.057138400787552494,0.011005471786954615,30.09259259259259,36,51
C0162,6,3,linear,43,0.045016660340839454,0.009977249653220964,32.870370370370374,36,51
C0163,6,3,linear,44,0.049350922410157004,0.007629706439659144,28.703703703703702,36,51
C0164,6,3,linear,45,0.06681286675064364,0.013301021413966583,30.09259259259259,36,51
C0165,6,3,linear,46,0.06444128464401572,0.013436965182154774,31.48148148148148,36,51
C0166,6,3,ring,42,0.05328802219837651,0.006395465201646466,10.185185185185185,36,54
C0167,6,3,ring,43,0.05637676697708156,0.006717125137147896,14.814814814814813,36,54
C0168,6,3,ring,44,0.04517494177459152,0.004243651270943481,11.574074074074074,36,54
C0169,6,3,ring,45,0.06323206518680134,0.008784626275600355,11.574074074074074,36,54
C0170,6,3,ring,46,0.07206973124975292,0.010412855115256447,11.11111111111111,36,54
C0171,6,4,linear,42,0.05327291034770578,0.007319028450519972,24.305555555555554,48,68
C0172,6,4,linear,43,0.05517927462390712,0.008525767704876678,26.38888888888889,48,68
C0173,6,4,linear,44,0.06444220998582623,0.009768272505847289,23.61111111111111,48,68
C0174,6,4,linear,45,0.07648591767014873,0.013803805930936797,23.958333333333336,48,68
C0175,6,4,linear,46,0.05634816450545789,0.009844782025136821,26.73611111111111,48,68
C0176,6,4,ring,42,0.055656369208722904,0.005967080448913201,9.375,48,72
C0177,6,4,ring,43,0.06877112063224744,0.008383227033892524,9.375,48,72
C0178,6,4,ring,44,0.06525078126556107,0.007802752218951779,8.333333333333332,48,72
C0179,6,4,ring,45,0.05470683802009647,0.005781290303273383,8.333333333333332,48,72
C0180,6,4,ring,46,0.06632264533300013,0.008469267514257093,10.069444444444445,48,72
C0181,6,6,linear,42,0.06228433586066286,0.007489146133551234,16.666666666666664,72,102
C0182,6,6,linear,43,0.0611352394817254,0.007582865432399756,17.59259259259259,72,102
C0183,6,6,linear,44,0.05694943910039955,0.007026104746235583,16.435185185185187,72,102
C0184,6,6,linear,45,0.057906147549940216,0.007167735059899829,17.36111111111111,72,102
C0185,6,6,linear,46,0.055068341492111816,0.007301967093803301,19.675925925925927,72,102
C0186,6,6,ring,42,0.0639609434064072,0.007179134000505756,6.018518518518518,72,108
C0187,6,6,ring,43,0.06895209953832819,0.007898896946875617,6.712962962962964,72,108
C0188,6,6,ring,44,0.05997504211197675,0.006840521674691402,6.712962962962964,72,108
C0189,6,6,ring,45,0.06983133290804457,0.008006145369544741,6.481481481481481,72,108
C0190,6,6,ring,46,0.06001074455335906,0.00628974385892339,6.018518518518518,72,108
C0191,6,8,linear,42,0.055218128301971516,0.00592293791865184,13.88888888888889,96,136
C0192,6,8,linear,43,0.060047308218386,0.006674855203950194,13.368055555555555,96,136
C0193,6,8,linear,44,0.0642299485595175,0.007742275959480306,12.847222222222221,96,136
C0194,6,8,linear,45,0.05790779656071868,0.0064759127951551955,13.368055555555555,96,136
C0195,6,8,linear,46,0.0564325641473019,0.00667021294883472,13.368055555555555,96,136
C0196,6,8,ring,42,0.06685120454484625,0.007829294657429042,4.861111111111112,96,144
C0197,6,8,ring,43,0.07256726568547182,0.00909678965761606,6.076388888888888,96,144
C0198,6,8,ring,44,0.06388832514361764,0.006935157465170285,4.6875,96,144
C0199,6,8,ring,45,0.06737416834612119,0.007682201962448305,5.555555555555555,96,144
C0200,6,8,ring,46,0.06719998728740748,0.007368248528350123,4.340277777777778,96,144
C0201,6,10,linear,42,0.05765501914612171,0.006148342083996039,10.694444444444445,120,170
C0202,6,10,linear,43,0.059413914122518216,0.006628815543451521,11.944444444444445,120,170
C0203,6,10,linear,44,0.062217738887442676,0.006679077002269625,10.13888888888889,120,170
C0204,6,10,linear,45,0.05935702436934452,0.006228674884479538,10.694444444444445,120,170
C0205,6,10,linear,46,0.059643866976660194,0.006573908282691916,10.277777777777777,120,170
C0206,6,10,ring,42,0.06943572750179414,0.008241141073967288,4.305555555555555,120,180
C0207,6,10,ring,43,0.06873124305110385,0.008135163512104386,4.722222222222222,120,180
C0208,6,10,ring,44,0.07002608436261823,0.008135740881096634,4.166666666666666,120,180
C0209,6,10,ring,45,0.06543097110694863,0.007120205311085517,3.75,120,180
C0210,6,10,ring,46,0.06656361360830625,0.007558934772103019,4.305555555555555,120,180
C0211,8,1,linear,42,0.012462140678063345,0.0071298026491972595,84.375,16,23
C0212,8,1,linear,43,0.018436320215465672,0.008634868471647532,88.28125,16,23
C0213,8,1,linear,44,0.01385221963890338,0.007012573635729884,74.21875,16,23
C0214,8,1,linear,45,0.009166702148986764,0.0026229131340248357,85.15625,16,23
